comment, title, product_id , verification_status , likes, created_at
کسی میتونه راهنمایی کنه فرق این کنسول با همین مدل کنسول ولی قیمت ۲ملیون ۸۰۰ تومنی تو همین سایت چیه?,علت اختلاف قیمت,1427899,rejected,0,2019-05-23 09:59:21
"سلام.این ماشین های اصلاح جمی 830*840*845  و... جوری ساخته شدند که هیچ تعمیرکاری نمیتونه اونو تنظیم کنه حداقل تا جایی که من میدونم کسی نتونسته تنظیمش کنه ولی من تمام مدل های این ماشین رو میتونم روی صفر تنظیم کنم که کاملا صفرصفر بزنه بدون هیچ گازگرفتگی ای
برای سفارش تنظیم این نوع ماشینها با شماره زیر تماس بگیرید .
                                      09190459343
                                      09011729827
",تنظیم تخصصی ماشینهای اصلاح جمی,529769,rejected,0,2019-05-23 09:51:47
با سلام،مدلی که من سفارش داده بودم با مدلی که به دستم رسید فرق میکرد من مدل 2017B،همراه با یک دستمال سفارش داده بودم ولی کالای که به دستم رسید201Bبود همراه با یک جعبه مداد رنگی مزخرف،جتلبتر از اون که هر یک ساعت یک بار هم وزنهای متفاوت نشون میده ،نه من توصیه نمیکنم چرا باید از اعتماد مردم سو استفاده بکنن,این ترازو رو توصیه نمیکنم,707912,rejected,0,2019-05-23 09:50:38
مخصوص چه قهوه ای است؟,مخصوص چه قهوه ای است؟,33427,rejected,0,2019-05-23 09:47:21
ايکاش براي خريد محصولات فرهنگي پيشنهاد شگفت انگيز قرار ميداديد . ,پيشنهاد شگفت انگيز براي محصولات فرهنگي,409584,rejected,0,2019-05-23 09:44:55
"سلام.این ماشین های اصلاح جمی 830*840*845  و... جوری ساخته شدند که هیچ تعمیرکاری نمیتونه اونو تنظیم کنه حداقل تا جایی که من میدونم کسی نتونسته تنظیمش کنه ولی من تمام مدل های این ماشین رو میتونم روی صفر تنظیم کنم که کاملا صفرصفر بزنه بدون هیچ گازگرفتگی ای
برای سفارش تنظیم این نوع ماشینها با شماره زیر تماس بگیرید .
                                      09190459343
                                      09011729827
",تعپیرات تخصصیه انواع ماشینهای Gemei,1488411,rejected,0,2019-05-23 09:43:37
"سلام
چرا اشغال هارو می‌فروشید اونم اسم اورجینال روش میارین باور نمی‌کردم دیجی کالا دزدباشه جنس بنجل اشغال بده مردم اصلا از دیجی کالا چیزی نخرید همه اشغال ته انبار هستن من خرید کردم شارژ که نمیکنه شارژ هم کم می‌کند اشغال اشغال اشغال",اشغال,256936,rejected,0,2019-05-23 09:42:35
"سلام.این ماشین های اصلاح جمی 830*840*845  و... جوری ساخته شدند که هیچ تعمیرکاری نمیتونه اونو تنظیم کنه حداقل تا جایی که من میدونم کسی نتونسته تنظیمش کنه ولی من تمام مدل های این ماشین رو میتونم روی صفر تنظیم کنم که کاملا صفرصفر بزنه بدون هیچ گازگرفتگی ای
برای سفارش تنظیم این نوع ماشینها با شماره زیر تماس بگیرید .
                                      09190459343
                                      09011729827
",تعمیرات تخصصیه انواع ماشینهای Gemei,1489924,rejected,0,2019-05-23 09:42:05
شمااز نزدیک کجا دیدید؟ فروشگاه گالری مدرن آدرس اش کجاست ؟ چون مرجوعی فرش با این قیمت دردسرهای خودش رو داره ,گالری مدرن,690019,rejected,0,2019-05-23 09:28:36
اووووو چقد گرون من اینو از بیرون خریدم 48 تومن ,گرووونه,1425337,rejected,0,2019-05-23 09:28:16
"هارد هست؟
یا
قاب هارد است؟",من نمیدونم این هارد هست یا فقط قاب اگه کسی خریده و میدونه همینجا بگه,454465,rejected,0,2019-05-23 09:23:21
سلام من خیلی تو بازار دنبال این گشتم پیدا نکردم می خواستم اگه امکانش هست موجودش کنید ,خیلی خوبه ,1123322,rejected,0,2019-05-23 09:22:41
"چرا  i7این نسل موجود نمی کنه ولی i3 موجود می کنه اخه؟
",پایین بودن مدل,111567,rejected,0,2019-05-23 09:08:50
با سلام به نظرتون پیشنهاد ویژه رو ۸۰ ٪ میکنن که بخریم ؟,پیشنهاد ویژه,250315,rejected,0,2019-05-23 08:50:52
"سلام چرا هر روز یک قیمت میزنید
من هنوز کالا به دستم نرسیده بیست هزارتومان ارزان شده
خیلی مسخره اس
ادم بهش بر میخوره",قیمت بالا و پایین,676487,rejected,0,2019-05-23 08:37:04
سلام ببخشید حتما باید کنسول ب مودم وصل شه تا روشن بشه یا افلاین هم میشه بازی کرد؟؟,اااااا,836093,rejected,0,2019-05-23 08:29:52
2,2,950160,rejected,0,2019-05-23 08:24:50
